aX,aY,aZ,gX,gY,gZ
0.092,-0.297,-0.984,5.249,-0.610,0.732
0.087,-0.312,-0.981,3.845,-0.854,0.916
0.083,-0.312,-0.966,4.517,-1.953,1.648

-0.782,-0.184,-2.292,-49.316,201.050,9.766
-0.793,-0.132,-2.639,-51.453,176.758,21.790
-0.767,-0.130,-2.733,-61.890,134.766,28.198
-0.689,-0.133,-2.630,-70.557,86.792,28.931
-0.606,-0.115,-2.347,-65.002,36.194,27.039
-0.512,-0.147,-1.931,-50.110,-12.329,22.095
-0.445,-0.135,-1.531,-29.785,-47.913,19.226
-0.398,-0.109,-1.180,-8.911,-68.054,16.663
-0.362,-0.096,-0.906,9.399,-72.876,13.123
-0.295,-0.056,-0.762,24.475,-62.378,11.414
-0.243,-0.010,-0.754,33.630,-44.373,9.827
-0.214,0.001,-0.791,32.715,-28.625,6.653
-0.203,-0.049,-0.792,23.499,-19.836,3.113
-0.185,-0.079,-0.741,16.296,-16.479,2.502
-0.186,-0.046,-0.692,13.306,-12.756,6.165
-0.150,-0.036,-0.681,9.338,-6.531,7.080
-0.154,-0.044,-0.726,8.728,-5.188,3.052
-0.165,-0.033,-0.730,9.033,-3.784,3.784
-0.152,-0.005,-0.724,12.878,2.136,9.155
-0.155,0.056,-0.799,14.832,13.306,14.465
-0.148,0.109,-0.940,17.944,22.827,14.893
-0.133,0.110,-1.065,25.269,23.071,10.986
-0.139,0.110,-1.127,30.457,15.503,8.301
-0.148,0.169,-1.205,33.142,7.996,6.592
-0.183,0.152,-1.234,30.334,1.282,1.709
-0.191,0.110,-1.242,26.306,-2.991,-0.671
-0.194,0.131,-1.247,21.423,-3.845,2.258
-0.183,0.191,-1.241,16.785,-4.700,4.761
-0.164,0.209,-1.200,10.376,-7.690,1.892
-0.159,0.146,-1.105,2.441,-13.672,-4.150
-0.168,0.093,-1.007,-2.014,-18.250,-7.690
-0.151,0.099,-1.001,-4.578,-19.409,-9.583
-0.199,0.017,-0.934,-8.240,-22.522,-14.282
